Rainfall,Temperature,Humidity,Soil_Type,Crop,Season,Irrigation_Needed,Water_Level
163,23,31,Sandy,Wheat,Rabi,0,0
57,24,77,Loamy,Sugarcane,Kharif,0,0
151,33,32,Loamy,Rice,Rabi,0,0
59,36,68,Loamy,Sugarcane,Rabi,0,0
183,40,74,Sandy,Wheat,Rabi,0,0
114,38,47,Loamy,Rice,Winter,0,0
87,28,39,Loamy,Wheat,Kharif,0,0
23,32,36,Clay,Wheat,Summer,1,422
186,34,64,Loamy,Wheat,Kharif,0,0
141,29,83,Sandy,Sugarcane,Summer,0,0
147,26,75,Loamy,Rice,Rabi,0,0
197,29,35,Loamy,Rice,Winter,0,0
71,34,70,Clay,Rice,Summer,0,0
90,26,72,Clay,Sugarcane,Kharif,0,0
155,40,40,Sandy,Sugarcane,Rabi,0,0
41,34,54,Clay,Sugarcane,Rabi,1,750
83,21,44,Loamy,Wheat,Winter,0,0
68,22,43,Sandy,Sugarcane,Summer,0,0
54,40,61,Clay,Sugarcane,Winter,0,0
36,28,38,Loamy,Sugarcane,Summer,0,0
191,38,57,Sandy,Wheat,Summer,0,0
56,24,62,Clay,Rice,Kharif,0,0
28,24,70,Loamy,Sugarcane,Winter,0,0
152,22,54,Clay,Sugarcane,Winter,0,0
135,28,65,Loamy,Sugarcane,Kharif,0,0
174,37,78,Clay,Sugarcane,Summer,0,0
28,29,57,Loamy,Wheat,Kharif,0,0
184,28,62,Loamy,Sugarcane,Kharif,0,0
160,29,83,Sandy,Sugarcane,Rabi,0,0
39,31,78,Loamy,Sugarcane,Kharif,1,706
82,35,31,Loamy,Wheat,Summer,0,0
61,21,45,Sandy,Rice,Kharif,0,0
187,35,82,Loamy,Sugarcane,Rabi,0,0
32,35,90,Sandy,Rice,Summer,1,670
155,33,43,Sandy,Sugarcane,Rabi,0,0
182,29,55,Sandy,Sugarcane,Summer,0,0
112,36,58,Loamy,Rice,Rabi,0,0
16,30,31,Sandy,Sugarcane,Rabi,0,0
150,27,30,Loamy,Sugarcane,Kharif,0,0
58,22,87,Loamy,Wheat,Kharif,0,0
131,27,47,Sandy,Wheat,Rabi,0,0
138,24,76,Sandy,Sugarcane,Winter,0,0
62,35,81,Clay,Rice,Kharif,0,0
24,33,52,Clay,Wheat,Winter,1,773
13,40,71,Loamy,Rice,Winter,1,772
86,23,45,Loamy,Rice,Winter,0,0
35,33,41,Clay,Wheat,Rabi,1,438
113,37,36,Loamy,Sugarcane,Kharif,0,0
23,27,40,Clay,Wheat,Winter,0,0
54,32,87,Loamy,Rice,Winter,0,0
0,32,46,Clay,Wheat,Winter,1,756
187,37,72,Sandy,Wheat,Rabi,0,0
48,29,43,Loamy,Sugarcane,Kharif,0,0
191,30,33,Loamy,Sugarcane,Winter,0,0
128,36,40,Loamy,Sugarcane,Kharif,0,0
47,22,68,Loamy,Sugarcane,Rabi,0,0
103,23,90,Sandy,Rice,Kharif,0,0
158,22,56,Sandy,Sugarcane,Summer,0,0
66,26,72,Sandy,Wheat,Rabi,0,0
67,32,38,Sandy,Sugarcane,Summer,0,0
117,30,89,Loamy,Rice,Winter,0,0
159,38,36,Loamy,Sugarcane,Rabi,0,0
129,28,38,Clay,Rice,Rabi,0,0
94,29,40,Clay,Sugarcane,Summer,0,0
156,40,63,Loamy,Sugarcane,Summer,0,0
169,23,90,Loamy,Wheat,Kharif,0,0
27,37,39,Clay,Wheat,Rabi,1,767
87,26,73,Sandy,Wheat,Winter,0,0
64,21,35,Sandy,Wheat,Summer,0,0
11,20,51,Loamy,Sugarcane,Summer,0,0
41,34,65,Sandy,Wheat,Kharif,1,457
19,24,64,Loamy,Wheat,Rabi,0,0
110,24,32,Clay,Wheat,Kharif,0,0
91,26,73,Loamy,Sugarcane,Kharif,0,0
90,37,86,Clay,Sugarcane,Rabi,0,0
60,25,81,Loamy,Wheat,Kharif,0,0
45,30,80,Clay,Sugarcane,Rabi,0,0
68,25,80,Sandy,Rice,Winter,0,0
9,35,44,Loamy,Wheat,Summer,1,556
58,27,31,Sandy,Rice,Winter,0,0
84,28,85,Loamy,Wheat,Summer,0,0
164,36,55,Sandy,Sugarcane,Summer,0,0
7,23,86,Clay,Rice,Summer,0,0
9,23,68,Clay,Wheat,Summer,0,0
111,39,62,Loamy,Wheat,Rabi,0,0
65,21,75,Clay,Rice,Rabi,0,0
93,33,34,Sandy,Wheat,Summer,0,0
169,23,76,Clay,Sugarcane,Summer,0,0
170,33,50,Clay,Sugarcane,Summer,0,0
141,24,42,Clay,Sugarcane,Winter,0,0
173,25,69,Sandy,Wheat,Winter,0,0
140,20,49,Clay,Rice,Winter,0,0
148,39,71,Clay,Wheat,Winter,0,0
113,26,62,Clay,Sugarcane,Rabi,0,0
168,22,48,Sandy,Sugarcane,Summer,0,0
23,27,73,Clay,Rice,Rabi,0,0
37,20,32,Loamy,Wheat,Kharif,0,0
116,33,86,Sandy,Sugarcane,Rabi,0,0
183,32,61,Clay,Rice,Rabi,0,0
167,20,87,Loamy,Wheat,Rabi,0,0
